Ledger,Account,PartNo,Contact,Project,Unit Code,D/C,Currency
L27,11039,A16,C30,B25,PCS,D,C03
L29,16253,A13,C30,B29,PCS,C,C05
L34,11860,A19,C37,B26,PCS,D,C03
L63,15297,A10,C37,B25,PCS,C,C09
L75,19858,A16,C33,B24,PCS,C,C06
L86,15461,A11,C34,B23,PCS,D,C01
L92,18522,A15,C33,B29,PCS,C,C03
L99,19913,A17,C32,B23,PCS,D,C10
L10,14263,A10,C40,B29,PCS,D,C02
L11,16260,A17,C31,B26,PCS,D,C09
L14,14997,A12,C32,B22,PCS,C,C05
L16,12481,A17,C38,B23,PCS,C,C03
L32,18797,A11,C32,B27,PCS,C,C05
L36,11125,A15,C32,B24,PCS,D,C03
L43,13827,A15,C32,B30,PCS,D,C10
L72,18899,A18,C36,B21,PCS,C,C10
L75,12946,A10,C33,B28,PCS,C,C09
L78,13035,A13,C31,B22,PCS,C,C09
L19,19203,A12,C30,B20,PCS,D,C05
L21,14948,A14,C38,B26,PCS,D,C01
L22,17047,A16,C34,B27,PCS,C,C05
L27,19399,A11,C35,B24,PCS,C,C05
L35,12438,A16,C31,B25,PCS,C,C01
L38,16717,A17,C35,B20,PCS,D,C01
L41,18189,A20,C32,B21,PCS,C,C03
L53,18866,A10,C38,B28,PCS,D,C06
L69,14853,A16,C39,B23,PCS,C,C04
L69,14705,A16,C35,B29,PCS,D,C03
L78,14154,A12,C32,B21,PCS,D,C05
L79,12906,A11,C32,B26,PCS,D,C04
L80,16842,A19,C34,B30,PCS,D,C09
L92,10751,A18,C38,B21,PCS,D,C10
L97,18333,A11,C34,B30,PCS,D,C03
L19,13192,A13,C36,B30,PCS,D,C04
L28,13084,A19,C38,B26,PCS,C,C01
L30,11831,A10,C38,B27,PCS,D,C05
L53,17933,A16,C31,B29,PCS,C,C05
L67,10276,A15,C36,B24,PCS,D,C03
L93,18101,A20,C36,B26,PCS,D,C07
L94,15793,A20,C31,B25,PCS,C,C02
L99,12480,A14,C40,B30,PCS,D,C09
L11,18446,A13,C37,B21,PCS,D,C07
L47,19292,A15,C32,B30,PCS,C,C05
L58,10793,A17,C36,B21,PCS,C,C05
L79,19497,A16,C38,B23,PCS,D,C04
L81,15145,A17,C39,B25,PCS,D,C09
L84,16872,A15,C35,B20,PCS,C,C07
L10,16976,A20,C33,B20,PCS,C,C07
L12,14664,A10,C38,B25,PCS,C,C09
L20,12963,A14,C36,B26,PCS,C,C05
L23,17430,A18,C40,B30,PCS,C,C05
L42,16784,A12,C34,B29,PCS,D,C06
L69,12360,A14,C30,B28,PCS,C,C01
L71,13818,A14,C37,B30,PCS,C,C03
L26,14289,A11,C32,B23,PCS,D,C06
L34,14061,A15,C32,B30,PCS,C,C04
L49,15344,A10,C31,B21,PCS,D,C07
L56,10299,A15,C31,B28,PCS,D,C01
L65,16378,A14,C32,B22,PCS,C,C03
L83,14404,A18,C40,B22,PCS,D,C05
L98,14813,A19,C32,B26,PCS,D,C08
L37,16729,A14,C35,B30,PCS,D,C07
L51,19240,A11,C31,B21,PCS,C,C05
L53,18287,A15,C38,B21,PCS,D,C07
L82,18105,A12,C35,B22,PCS,D,C04
L94,10604,A12,C40,B24,PCS,D,C03
L12,17506,A19,C36,B20,PCS,C,C07
L13,15308,A14,C40,B28,PCS,D,C10
L42,13373,A13,C32,B28,PCS,C,C09
L62,13685,A19,C33,B29,PCS,C,C03
L70,12858,A18,C31,B25,PCS,C,C03
L73,14634,A20,C40,B28,PCS,C,C09
L96,14886,A12,C30,B20,PCS,C,C06
L11,19461,A16,C37,B20,PCS,D,C07
L11,15397,A19,C30,B25,PCS,C,C01
L16,16709,A16,C36,B21,PCS,D,C04
L21,12449,A16,C37,B23,PCS,C,C05
L27,15779,A20,C32,B30,PCS,C,C10
L54,19287,A17,C35,B21,PCS,D,C01
L56,12588,A20,C35,B24,PCS,D,C08
L77,19212,A14,C32,B29,PCS,D,C01
L95,16007,A14,C39,B27,PCS,D,C05
L98,15270,A17,C37,B21,PCS,C,C10
L10,16936,A11,C36,B27,PCS,D,C07
L53,18568,A20,C34,B27,PCS,C,C04
L67,11166,A13,C37,B20,PCS,D,C09
L87,17806,A12,C33,B30,PCS,D,C01
L19,12877,A20,C35,B30,PCS,D,C02
L27,15410,A11,C40,B27,PCS,D,C10
L36,18487,A13,C36,B30,PCS,D,C01
L46,16562,A20,C30,B20,PCS,C,C04
L47,15795,A10,C33,B30,PCS,C,C09
L51,13867,A11,C39,B21,PCS,C,C01
L53,11773,A18,C31,B25,PCS,C,C06
L73,18841,A12,C38,B21,PCS,C,C02
L79,14421,A18,C33,B24,PCS,D,C06
L85,15413,A13,C31,B28,PCS,D,C07
L14,11193,A18,C35,B30,PCS,C,C03
L33,13281,A12,C38,B29,PCS,C,C05
L72,11672,A15,C35,B27,PCS,C,C04
L76,16748,A17,C34,B22,PCS,C,C02
L81,17140,A19,C39,B30,PCS,C,C07
L85,14249,A14,C38,B28,PCS,D,C05
L93,10525,A13,C33,B22,PCS,C,C06
L96,19726,A20,C38,B29,PCS,C,C05
L11,16029,A17,C40,B27,PCS,D,C02
L28,17647,A15,C40,B23,PCS,C,C08
L31,12094,A17,C37,B28,PCS,D,C03
L63,17730,A10,C37,B29,PCS,D,C07
L88,17562,A19,C37,B30,PCS,D,C07
L13,14582,A18,C34,B29,PCS,C,C04
L53,11469,A16,C35,B25,PCS,C,C08
L53,16776,A15,C36,B23,PCS,D,C02
L59,11054,A16,C34,B20,PCS,D,C06
L61,16164,A17,C35,B21,PCS,C,C05
L66,14513,A15,C33,B25,PCS,C,C06
L75,19339,A11,C35,B21,PCS,D,C07
L77,11141,A13,C40,B25,PCS,C,C04
L94,18655,A13,C39,B23,PCS,C,C04
L26,19053,A12,C36,B28,PCS,C,C06
L26,12054,A11,C39,B29,PCS,D,C09
L61,10248,A20,C40,B27,PCS,C,C09
L62,16486,A18,C38,B24,PCS,C,C04
L67,10241,A20,C32,B27,PCS,C,C10
L79,14272,A19,C40,B26,PCS,D,C06
L97,15662,A16,C39,B28,PCS,D,C06
L12,16996,A17,C37,B29,PCS,C,C07
L15,13196,A12,C39,B21,PCS,D,C02
L17,16375,A10,C35,B23,PCS,D,C01
L22,18160,A17,C39,B23,PCS,D,C03
L35,12795,A15,C32,B29,PCS,C,C03
L39,17141,A19,C37,B27,PCS,C,C08
L48,12111,A10,C37,B22,PCS,C,C08
L69,13589,A17,C37,B26,PCS,D,C05
L77,10036,A18,C40,B29,PCS,D,C01
L81,17872,A15,C33,B22,PCS,D,C03
L83,16877,A19,C36,B20,PCS,D,C02
L88,18961,A18,C32,B26,PCS,D,C08
L10,14333,A13,C35,B26,PCS,D,C05
L40,12074,A16,C38,B28,PCS,D,C08
L41,17501,A12,C30,B24,PCS,C,C06
L43,13190,A14,C40,B30,PCS,C,C03
L68,19570,A14,C37,B30,PCS,C,C10
L99,19057,A17,C37,B30,PCS,D,C05
L88,15663,A16,C40,B27,PCS,C,C09
L93,16859,A18,C39,B25,PCS,C,C06
L18,15795,A14,C35,B22,PCS,D,C04
L40,16289,A14,C33,B28,PCS,C,C06
L45,18493,A16,C38,B30,PCS,C,C04
L51,11859,A12,C35,B28,PCS,C,C02
L56,13441,A16,C30,B24,PCS,D,C03
L61,19285,A20,C31,B26,PCS,D,C07
L70,10565,A17,C35,B26,PCS,C,C01
L87,18169,A20,C39,B30,PCS,D,C06
L56,11434,A19,C30,B28,PCS,C,C06
L44,13576,A12,C30,B27,PCS,D,C03
L46,11937,A13,C37,B30,PCS,D,C06
L49,19340,A19,C30,B26,PCS,C,C04
L60,19970,A15,C34,B22,PCS,D,C07
L59,19141,A11,C33,B21,PCS,C,C07
L37,18767,A12,C39,B25,PCS,C,C03
L52,14566,A12,C31,B27,PCS,C,C03
L56,16262,A19,C34,B30,PCS,D,C06
L62,10081,A19,C40,B20,PCS,D,C09
L64,16114,A13,C36,B22,PCS,D,C05
L68,15330,A19,C39,B30,PCS,D,C04
L71,17967,A14,C35,B22,PCS,D,C03
L80,16635,A12,C37,B27,PCS,C,C03
L83,15813,A18,C36,B22,PCS,C,C07
L12,13573,A11,C38,B29,PCS,C,C01
L68,19428,A17,C34,B20,PCS,C,C08
L72,19587,A19,C33,B28,PCS,C,C08
L83,11704,A14,C40,B20,PCS,C,C08
L89,19671,A20,C38,B25,PCS,C,C06
L96,19828,A15,C36,B23,PCS,C,C03
L12,19044,A19,C30,B29,PCS,C,C02
L22,12288,A18,C39,B29,PCS,C,C02
L24,14469,A14,C39,B20,PCS,D,C07
L40,16994,A12,C32,B25,PCS,C,C09
L47,16852,A12,C40,B23,PCS,D,C04
L66,19881,A14,C35,B22,PCS,D,C02
L74,16057,A17,C34,B22,PCS,D,C07
L78,10720,A15,C37,B22,PCS,D,C01
L91,17501,A16,C37,B24,PCS,C,C06
L91,12626,A12,C34,B23,PCS,D,C01
L95,12468,A16,C34,B27,PCS,D,C04
L25,15517,A11,C35,B27,PCS,D,C03
L33,17159,A14,C40,B25,PCS,C,C08
L34,15472,A16,C35,B29,PCS,C,C08
L44,14489,A14,C36,B22,PCS,C,C06
L55,18474,A20,C40,B30,PCS,D,C03
L60,17769,A18,C38,B28,PCS,D,C06
L70,19290,A16,C37,B28,PCS,D,C05
L71,17736,A17,C31,B26,PCS,C,C03
L80,19881,A12,C37,B30,PCS,D,C08
L80,18201,A11,C37,B20,PCS,C,C06
L10,11491,A20,C37,B20,PCS,D,C07
L13,15719,A19,C37,B30,PCS,D,C04
L33,19014,A18,C36,B30,PCS,C,C07
L33,14113,A13,C30,B30,PCS,D,C01
L58,16645,A10,C34,B26,PCS,C,C08
L62,18763,A13,C30,B29,PCS,D,C07
L64,17916,A13,C34,B22,PCS,D,C05
L65,10778,A19,C32,B21,PCS,D,C06
L66,19440,A10,C30,B23,PCS,D,C08
L69,17982,A19,C30,B20,PCS,C,C04
L83,11387,A17,C36,B25,PCS,C,C04
L94,15533,A19,C32,B26,PCS,C,C06
L48,10666,A10,C33,B23,PCS,D,C06
L59,14279,A15,C36,B23,PCS,D,C10
L76,16936,A13,C40,B29,PCS,C,C06
L92,16174,A18,C40,B30,PCS,C,C06
L99,13775,A20,C33,B21,PCS,D,C01
L17,10041,A18,C40,B25,PCS,D,C01
L21,19532,A20,C38,B23,PCS,C,C02
L27,17226,A17,C39,B21,PCS,C,C04
L89,13906,A14,C33,B23,PCS,D,C09
L89,15191,A13,C34,B28,PCS,D,C02
L96,13899,A19,C39,B24,PCS,C,C06
L15,11046,A16,C38,B29,PCS,D,C02
L17,10391,A18,C30,B23,PCS,C,C07
L25,16219,A15,C37,B23,PCS,D,C03
L38,18813,A12,C37,B24,PCS,C,C09
L51,18890,A14,C39,B24,PCS,C,C05
L69,15351,A16,C36,B26,PCS,C,C05
L68,17965,A14,C32,B22,PCS,D,C06
L72,11208,A20,C35,B24,PCS,D,C04
L83,17013,A10,C37,B28,PCS,D,C06
L87,18529,A15,C39,B24,PCS,C,C02
L94,10901,A17,C37,B26,PCS,D,C04
L16,17893,A16,C40,B29,PCS,C,C04
L31,17114,A13,C33,B23,PCS,C,C10
L41,19221,A14,C40,B21,PCS,C,C04
L43,17459,A13,C34,B25,PCS,D,C04
L52,15560,A17,C30,B24,PCS,C,C01
L53,11036,A14,C33,B20,PCS,D,C08
L56,18355,A13,C35,B25,PCS,D,C07
L56,14597,A14,C32,B27,PCS,D,C07
L15,10751,A20,C32,B30,PCS,C,C07
L15,15333,A17,C31,B27,PCS,C,C07
L18,11959,A16,C30,B30,PCS,C,C05
L27,10650,A14,C32,B28,PCS,C,C03
L29,15676,A15,C30,B30,PCS,D,C05
L32,14349,A16,C39,B29,PCS,D,C08
L36,18755,A17,C34,B27,PCS,C,C03
L42,11434,A12,C32,B30,PCS,D,C10
L54,17224,A16,C36,B25,PCS,D,C05
L63,11773,A13,C36,B24,PCS,D,C07
L95,19900,A11,C34,B29,PCS,D,C04
L17,19699,A15,C33,B27,PCS,D,C05
L21,12290,A14,C36,B22,PCS,C,C03
L22,18172,A20,C38,B25,PCS,C,C10
L27,12488,A10,C38,B27,PCS,C,C03
L27,10221,A10,C35,B30,PCS,D,C03
L28,12066,A20,C38,B22,PCS,C,C03
L31,13211,A20,C33,B27,PCS,D,C07
L36,15874,A18,C40,B23,PCS,D,C03
L40,16324,A14,C39,B26,PCS,D,C09
L52,15044,A14,C39,B28,PCS,D,C09
L60,16417,A13,C35,B25,PCS,D,C09
L68,14323,A18,C34,B20,PCS,D,C09
L69,16922,A16,C38,B29,PCS,D,C04
L79,14676,A20,C40,B26,PCS,D,C02
L16,16165,A18,C35,B22,PCS,D,C08
L22,19884,A18,C37,B21,PCS,C,C07
L31,18973,A11,C30,B27,PCS,D,C03
L35,12742,A10,C31,B23,PCS,C,C02
L38,15173,A20,C31,B20,PCS,D,C09
L41,19750,A18,C37,B23,PCS,C,C10
L47,15766,A20,C34,B24,PCS,C,C08
L52,15090,A15,C35,B28,PCS,C,C04
L65,12665,A19,C38,B29,PCS,C,C09
L81,14264,A11,C30,B22,PCS,C,C10
L93,19830,A14,C35,B28,PCS,C,C08
L95,16761,A20,C30,B30,PCS,D,C10
L19,15073,A18,C38,B26,PCS,C,C05
L30,18205,A19,C38,B23,PCS,D,C09
L37,11615,A10,C38,B20,PCS,C,C09
L38,15771,A13,C38,B27,PCS,D,C03
L39,15206,A18,C37,B29,PCS,C,C06
L47,10959,A14,C33,B26,PCS,D,C06
L54,15686,A15,C37,B30,PCS,D,C01
L60,17969,A19,C36,B26,PCS,C,C03
L61,12434,A19,C37,B30,PCS,C,C08
L33,15453,A20,C38,B30,PCS,D,C09
L46,10947,A19,C40,B26,PCS,C,C03
L92,19388,A16,C32,B22,PCS,C,C04
L21,14507,A18,C30,B28,PCS,D,C01
L22,19918,A17,C34,B21,PCS,C,C09
L23,18485,A18,C33,B23,PCS,C,C02
L33,17203,A15,C36,B26,PCS,C,C05
L42,19208,A19,C34,B25,PCS,D,C01
L47,12416,A10,C37,B30,PCS,C,C06
L48,14206,A19,C39,B20,PCS,D,C07
L64,16920,A19,C33,B24,PCS,C,C05
L67,15204,A20,C30,B22,PCS,C,C01
L81,10548,A10,C35,B27,PCS,D,C10
L89,15680,A10,C39,B30,PCS,C,C09
L14,15384,A12,C36,B26,PCS,D,C08
L25,14536,A19,C30,B24,PCS,D,C06
L50,16118,A19,C34,B22,PCS,C,C09
L58,16637,A13,C39,B21,PCS,C,C05
L67,10214,A15,C38,B30,PCS,C,C05
L78,15560,A17,C34,B22,PCS,C,C09
L99,19799,A19,C36,B25,PCS,C,C04
L12,12800,A13,C30,B28,PCS,C,C09
L28,10509,A14,C36,B24,PCS,C,C08
L30,12635,A19,C32,B23,PCS,D,C07
L38,11961,A11,C40,B28,PCS,C,C05
L48,17918,A18,C39,B22,PCS,D,C01
L49,10642,A15,C31,B26,PCS,C,C08
L51,19820,A10,C37,B26,PCS,C,C03
L57,17565,A10,C40,B20,PCS,C,C02
L59,14875,A10,C30,B21,PCS,C,C02
L88,11884,A12,C31,B20,PCS,D,C10
L94,18706,A19,C33,B22,PCS,D,C06
L95,12973,A20,C36,B30,PCS,D,C06
L11,17406,A20,C39,B30,PCS,D,C04
L25,16481,A11,C37,B26,PCS,D,C09
L41,14471,A11,C37,B25,PCS,C,C07
L45,18068,A11,C39,B20,PCS,C,C08
L49,11870,A12,C32,B21,PCS,C,C09
L56,16664,A19,C40,B22,PCS,C,C08
L60,13461,A12,C39,B23,PCS,C,C08
L82,11173,A16,C35,B26,PCS,D,C01
L87,12533,A13,C37,B25,PCS,D,C08
L95,17189,A14,C38,B24,PCS,D,C08
L46,16948,A20,C36,B21,PCS,C,C10
L75,11884,A10,C30,B23,PCS,D,C01
L92,11712,A11,C38,B28,PCS,C,C10
L97,16420,A14,C35,B23,PCS,D,C07
L97,11940,A13,C34,B27,PCS,D,C06
L98,17404,A16,C37,B20,PCS,D,C02
L19,18458,A18,C35,B25,PCS,C,C08
L20,13190,A13,C30,B25,PCS,D,C07
L28,11593,A11,C34,B26,PCS,D,C01
L38,10407,A13,C39,B29,PCS,D,C06
L46,18600,A14,C32,B27,PCS,C,C02
L73,12683,A10,C33,B22,PCS,C,C07
L96,12011,A10,C30,B21,PCS,C,C07
L97,13795,A10,C36,B26,PCS,C,C02
L19,17741,A10,C33,B30,PCS,C,C10
L19,13938,A16,C32,B27,PCS,D,C01
L71,11250,A16,C40,B26,PCS,C,C02
L74,12050,A11,C39,B26,PCS,D,C01
L92,15747,A12,C36,B21,PCS,D,C10
L28,11263,A11,C32,B28,PCS,D,C06
L44,17429,A13,C35,B28,PCS,D,C08
L55,14127,A14,C38,B29,PCS,D,C05
L58,14314,A11,C39,B27,PCS,D,C01
L62,13263,A16,C37,B21,PCS,D,C03
L82,12035,A15,C38,B30,PCS,D,C01
L84,13394,A20,C30,B25,PCS,D,C03
L86,10863,A13,C38,B24,PCS,C,C03
L92,19140,A11,C30,B20,PCS,D,C09
L20,15413,A15,C32,B27,PCS,D,C01
L23,12099,A17,C31,B24,PCS,C,C06
L30,12886,A11,C31,B21,PCS,C,C05
L41,18922,A15,C31,B29,PCS,C,C05
L67,11178,A15,C32,B27,PCS,C,C02
L80,10516,A13,C39,B26,PCS,D,C05
L96,14618,A14,C37,B24,PCS,C,C09
L12,19799,A10,C32,B25,PCS,D,C07
L10,13717,A11,C34,B20,PCS,C,C06
L11,15049,A20,C38,B29,PCS,C,C09
L13,11163,A17,C37,B30,PCS,D,C07
L16,13154,A10,C32,B29,PCS,D,C06
L19,14413,A17,C35,B30,PCS,D,C05
L23,15305,A18,C35,B21,PCS,C,C09
L40,16495,A10,C34,B25,PCS,C,C03
L49,12351,A11,C38,B29,PCS,D,C04
L68,16852,A20,C37,B29,PCS,C,C02
L91,10180,A14,C32,B23,PCS,C,C07
L21,18724,A19,C32,B20,PCS,D,C04
L33,15562,A17,C30,B30,PCS,C,C03
L61,11942,A14,C40,B25,PCS,C,C04
L81,18237,A14,C34,B23,PCS,C,C10
L95,17500,A11,C30,B24,PCS,C,C08
L97,16443,A16,C37,B28,PCS,C,C06
L26,17804,A10,C34,B23,PCS,D,C05
L30,13850,A12,C33,B20,PCS,C,C05
L55,19871,A17,C37,B24,PCS,D,C01
L73,15558,A16,C32,B28,PCS,D,C07
L87,18715,A15,C33,B29,PCS,D,C08
L96,13192,A14,C40,B23,PCS,C,C09
L98,17464,A13,C31,B22,PCS,D,C01
L25,16548,A16,C31,B26,PCS,D,C09
L28,10849,A12,C36,B25,PCS,C,C04
L49,10864,A20,C30,B28,PCS,D,C07
L53,17902,A11,C30,B30,PCS,C,C06
L54,10339,A11,C37,B23,PCS,D,C01
L67,10795,A17,C39,B20,PCS,C,C09
L73,11125,A11,C36,B20,PCS,C,C04
L25,12679,A15,C40,B27,PCS,D,C06
L57,10122,A13,C40,B28,PCS,C,C06
L59,17010,A19,C35,B22,PCS,C,C10
L60,14247,A18,C31,B29,PCS,D,C07
L67,18943,A17,C36,B20,PCS,C,C09
L76,12076,A15,C39,B22,PCS,C,C01
L77,17508,A16,C35,B27,PCS,D,C01
L91,12698,A13,C39,B23,PCS,C,C02
L15,12821,A12,C32,B27,PCS,C,C06
L38,17863,A17,C36,B25,PCS,C,C03
L44,16549,A11,C40,B22,PCS,C,C07
L67,18727,A17,C31,B27,PCS,C,C05
L73,16381,A16,C35,B26,PCS,C,C08
L18,10095,A10,C35,B28,PCS,C,C09
L25,11450,A18,C38,B21,PCS,D,C02
L46,19640,A10,C36,B29,PCS,C,C06
L47,14711,A14,C39,B30,PCS,C,C03
L58,15485,A10,C31,B22,PCS,C,C02
L71,12727,A17,C30,B23,PCS,D,C05
L72,19954,A12,C38,B28,PCS,C,C04
L86,17347,A14,C39,B24,PCS,C,C01
L26,16925,A16,C33,B21,PCS,C,C10
L26,12450,A15,C40,B25,PCS,C,C06
L32,12090,A13,C33,B29,PCS,C,C08
L59,11488,A11,C32,B25,PCS,C,C07
L79,16123,A11,C39,B29,PCS,C,C03
L95,11922,A18,C38,B24,PCS,D,C10
L11,14385,A18,C36,B23,PCS,D,C09
L13,18135,A10,C39,B27,PCS,C,C10
L31,12049,A16,C31,B26,PCS,C,C04
L31,18043,A14,C32,B24,PCS,D,C10
L69,17254,A10,C38,B29,PCS,D,C10
L68,19443,A12,C30,B22,PCS,C,C08
L77,18689,A13,C34,B25,PCS,D,C04
L82,18143,A17,C38,B25,PCS,D,C05
L14,11015,A12,C35,B21,PCS,C,C04
L17,12292,A14,C38,B24,PCS,D,C09
L33,12045,A10,C34,B24,PCS,D,C06
L56,15530,A17,C36,B22,PCS,D,C02
L60,15866,A20,C40,B28,PCS,D,C09
L66,15460,A14,C32,B27,PCS,C,C07
L78,17200,A18,C39,B26,PCS,C,C05
L82,10798,A16,C31,B25,PCS,D,C02
L86,15169,A13,C40,B24,PCS,D,C09
L92,19311,A16,C38,B28,PCS,C,C01
L94,17185,A11,C33,B26,PCS,D,C03
L16,10332,A10,C36,B22,PCS,C,C08
L17,17206,A13,C31,B29,PCS,C,C10
L17,18090,A11,C33,B28,PCS,C,C10
L19,12088,A15,C34,B20,PCS,C,C05
L20,11759,A12,C38,B24,PCS,C,C04
L27,13206,A14,C31,B22,PCS,C,C06
L35,17581,A16,C38,B28,PCS,D,C06
L50,15656,A15,C35,B29,PCS,C,C10
L66,11290,A10,C33,B29,PCS,D,C08
L79,14666,A16,C37,B27,PCS,C,C08
L12,12332,A10,C35,B20,PCS,D,C08
L16,15744,A20,C36,B20,PCS,D,C05
L39,14769,A11,C38,B20,PCS,C,C02
L40,12726,A10,C31,B27,PCS,C,C03
L42,10366,A20,C37,B28,PCS,D,C08
L47,11911,A14,C40,B22,PCS,D,C01
L49,16420,A11,C34,B26,PCS,D,C05
L52,14567,A11,C33,B25,PCS,C,C03
L72,19186,A18,C30,B20,PCS,D,C05
L75,15235,A14,C34,B27,PCS,C,C07
L80,19672,A11,C38,B23,PCS,D,C08
L80,18497,A20,C38,B21,PCS,C,C01
L82,17700,A15,C37,B22,PCS,C,C09
L89,13294,A10,C39,B26,PCS,D,C05
L97,18143,A17,C38,B24,PCS,C,C06
L11,18617,A15,C32,B21,PCS,D,C02
L48,16050,A11,C40,B20,PCS,D,C07
L52,11832,A16,C32,B25,PCS,C,C07
L52,15923,A13,C34,B24,PCS,C,C03
L53,10779,A12,C31,B21,PCS,D,C09
L88,17833,A13,C37,B25,PCS,D,C06
L11,17424,A11,C37,B26,PCS,D,C06
L23,14386,A15,C32,B28,PCS,C,C06
L34,15123,A12,C34,B23,PCS,D,C04
L67,10256,A16,C31,B22,PCS,C,C09
L78,11293,A14,C39,B26,PCS,C,C02
L91,11377,A10,C32,B25,PCS,C,C07
L10,12861,A10,C30,B21,PCS,C,C04
L28,10972,A11,C36,B20,PCS,D,C03
L31,13772,A15,C35,B22,PCS,D,C06
L33,11297,A17,C37,B23,PCS,C,C08
L35,18444,A13,C38,B29,PCS,D,C02
L43,11676,A17,C33,B23,PCS,C,C04
L77,18111,A13,C36,B26,PCS,C,C03
L92,17454,A16,C38,B25,PCS,C,C02
L96,18893,A11,C31,B21,PCS,D,C07
L97,18223,A14,C35,B24,PCS,D,C09
L21,13534,A10,C36,B24,PCS,D,C03
L46,19485,A20,C35,B24,PCS,C,C08
L59,13283,A14,C31,B21,PCS,C,C09
L79,15090,A11,C35,B21,PCS,C,C10
L86,17014,A15,C33,B25,PCS,C,C06
L89,17430,A13,C30,B20,PCS,C,C04
L99,15973,A12,C30,B26,PCS,D,C09
L13,10209,A18,C30,B27,PCS,C,C08
L40,12046,A10,C40,B26,PCS,C,C06
L51,14660,A16,C33,B25,PCS,C,C02
L70,19888,A19,C31,B29,PCS,C,C01
L89,14018,A18,C33,B23,PCS,D,C06
L23,18243,A11,C35,B20,PCS,C,C01
L52,10733,A12,C33,B22,PCS,C,C05
L71,16043,A20,C30,B20,PCS,D,C08
L74,12838,A17,C40,B25,PCS,D,C07
L75,19225,A12,C34,B26,PCS,C,C04
L77,12677,A13,C39,B21,PCS,C,C02
L55,12946,A19,C31,B30,PCS,D,C08
L71,16207,A15,C40,B24,PCS,C,C10
L82,19174,A20,C37,B27,PCS,C,C05
L87,11768,A15,C39,B22,PCS,D,C05
L43,17064,A13,C39,B22,PCS,D,C06
L67,13232,A13,C31,B30,PCS,C,C01
L80,17381,A10,C34,B23,PCS,C,C07
L86,15999,A15,C31,B28,PCS,C,C08
L96,16617,A17,C39,B27,PCS,C,C08
L15,19651,A16,C32,B28,PCS,C,C10
L18,13928,A11,C34,B21,PCS,D,C02
L23,11765,A18,C40,B30,PCS,C,C01
L35,17247,A14,C31,B23,PCS,C,C03
L51,16772,A20,C30,B24,PCS,D,C04
L99,12900,A14,C34,B29,PCS,C,C02
L18,15769,A12,C36,B29,PCS,D,C06
L26,17906,A14,C31,B20,PCS,C,C05
L31,10226,A18,C37,B26,PCS,D,C09
L38,14418,A20,C34,B20,PCS,C,C10
L58,10889,A10,C30,B28,PCS,D,C05
L69,11648,A15,C38,B25,PCS,D,C07
L82,14615,A14,C34,B28,PCS,D,C04
L95,18384,A10,C36,B28,PCS,D,C06
L96,12745,A12,C30,B24,PCS,C,C03
L97,15407,A11,C39,B22,PCS,D,C10
L10,19397,A16,C37,B30,PCS,C,C06
L16,11302,A14,C30,B26,PCS,C,C03
L32,19436,A18,C35,B26,PCS,D,C08
L48,11803,A14,C37,B21,PCS,D,C02
L48,19827,A18,C38,B23,PCS,D,C08
L59,17601,A20,C31,B22,PCS,C,C05
L65,15371,A15,C40,B25,PCS,C,C10
L88,12041,A14,C34,B29,PCS,C,C06
L91,11127,A20,C35,B25,PCS,D,C10
L91,11265,A12,C38,B23,PCS,C,C09
L98,15325,A20,C38,B29,PCS,C,C04
L10,17870,A11,C30,B23,PCS,D,C10
L13,17198,A20,C30,B24,PCS,C,C10
L13,10055,A12,C36,B26,PCS,D,C09
L50,16047,A18,C32,B26,PCS,C,C08
L58,17248,A15,C32,B30,PCS,D,C05
L70,18801,A19,C39,B21,PCS,C,C03
L71,19357,A10,C35,B28,PCS,D,C01
L77,12168,A16,C32,B20,PCS,C,C01
L80,15833,A14,C32,B30,PCS,D,C05
L85,18280,A11,C30,B30,PCS,D,C06
L38,16569,A17,C37,B30,PCS,C,C04
L35,13318,A17,C32,B28,PCS,C,C06
L47,16543,A10,C31,B20,PCS,C,C07
L55,10254,A18,C40,B20,PCS,D,C08
L53,16054,A20,C40,B28,PCS,D,C01
L72,12597,A15,C30,B21,PCS,D,C05
L80,13762,A16,C32,B23,PCS,D,C01
L90,15293,A17,C37,B27,PCS,C,C06
L92,11550,A11,C33,B28,PCS,D,C02
L93,11926,A11,C34,B29,PCS,D,C01
L96,17499,A13,C34,B27,PCS,C,C02
L13,12512,A13,C35,B29,PCS,D,C02
L25,14255,A20,C34,B29,PCS,D,C03
L38,14128,A20,C32,B24,PCS,C,C03
L40,12117,A18,C35,B21,PCS,D,C04
L41,14811,A13,C31,B20,PCS,D,C06
L48,11235,A12,C33,B24,PCS,C,C09
L58,10995,A10,C31,B23,PCS,D,C07
L66,10262,A17,C32,B26,PCS,C,C05
L81,19943,A18,C39,B26,PCS,C,C03
L15,13499,A15,C31,B29,PCS,C,C06
L22,10410,A20,C37,B21,PCS,C,C01
L68,19546,A19,C37,B28,PCS,D,C04
L84,15688,A18,C36,B26,PCS,D,C03
L98,19813,A16,C34,B27,PCS,D,C06
L10,18388,A15,C37,B26,PCS,C,C07
L44,10390,A20,C40,B20,PCS,C,C03
L60,10015,A20,C32,B21,PCS,C,C02
L63,14020,A20,C30,B20,PCS,D,C08
L65,15219,A20,C40,B24,PCS,D,C04
L72,16100,A17,C30,B29,PCS,C,C07
