Ledger,Account,PartNo,Contact,Project,Unit Code,D/C,Currency,Quantity(Count),Quantity(Max),Quantity(Min),Quantity(Sum)
L95,14892,A18,C35,B20,PCS,D,C03,1,791,791,791
L97,13451,A18,C31,B22,PCS,C,C08,1,208,208,208
L19,17795,A18,C38,B25,PCS,D,C10,1,204,204,204
L28,14468,A19,C32,B30,PCS,C,C10,3,529,297,1206
L33,13107,A18,C31,B25,PCS,C,C05,1,115,115,115
L48,19934,A14,C36,B28,PCS,C,C02,3,941,26,1773
L55,18432,A16,C36,B30,PCS,C,C07,3,862,459,2092
L56,13894,A14,C31,B20,PCS,D,C03,4,771,639,2801
L57,11441,A17,C33,B28,PCS,C,C03,1,501,501,501
L65,15201,A11,C37,B30,PCS,D,C01,1,82,82,82
L80,16265,A15,C36,B22,PCS,D,C05,3,991,272,1712
L93,19188,A14,C34,B29,PCS,C,C04,1,407,407,407
L18,12478,A14,C36,B21,PCS,D,C03,2,966,756,1722
L36,15599,A14,C37,B20,PCS,D,C10,2,855,369,1224
L47,15766,A20,C34,B24,PCS,C,C08,1,169,169,169
L57,14771,A13,C35,B24,PCS,C,C03,1,179,179,179
L64,16845,A12,C37,B27,PCS,D,C03,2,840,404,1244
L64,19940,A20,C32,B24,PCS,D,C04,1,654,654,654
L64,14715,A14,C30,B27,PCS,D,C03,3,904,442,1919
L63,13046,A17,C34,B28,PCS,D,C06,2,738,388,1126
L68,15309,A17,C37,B26,PCS,D,C02,1,164,164,164
L72,12624,A12,C34,B27,PCS,C,C06,1,733,733,733
L88,12314,A14,C35,B30,PCS,C,C09,1,619,619,619
L14,13928,A11,C31,B22,PCS,D,C04,2,974,734,1708
L98,17635,A20,C35,B23,PCS,C,C03,1,540,540,540
L34,12557,A11,C39,B21,PCS,C,C01,3,494,209,1115
L51,13022,A13,C31,B20,PCS,C,C06,3,787,312,1885
L58,10889,A10,C30,B28,PCS,D,C05,3,973,156,1508
L60,15591,A15,C35,B23,PCS,D,C07,1,308,308,308
L65,16302,A19,C30,B21,PCS,C,C06,2,985,169,1154
L79,11399,A11,C39,B28,PCS,C,C04,1,92,92,92
L85,11171,A14,C33,B27,PCS,C,C02,1,757,757,757
L94,16158,A14,C31,B24,PCS,D,C08,3,329,40,432
L28,10993,A12,C37,B21,PCS,D,C10,2,944,727,1671
L31,18377,A11,C35,B28,PCS,C,C01,1,583,583,583
L49,10635,A15,C37,B23,PCS,D,C10,1,888,888,888
L56,11514,A20,C31,B20,PCS,C,C08,1,40,40,40
L57,12558,A19,C39,B22,PCS,D,C06,1,545,545,545
L57,14591,A18,C37,B29,PCS,D,C05,1,338,338,338
L57,14271,A12,C33,B20,PCS,D,C09,1,238,238,238
L70,16044,A11,C38,B22,PCS,C,C06,1,106,106,106
L75,10531,A10,C31,B26,PCS,C,C08,1,660,660,660
L25,18323,A14,C39,B30,PCS,C,C07,1,82,82,82
L52,12314,A13,C32,B20,PCS,D,C04,1,494,494,494
L54,11183,A10,C32,B29,PCS,D,C09,1,704,704,704
L81,16930,A11,C32,B21,PCS,C,C01,1,742,742,742
L85,11117,A19,C40,B28,PCS,D,C08,2,911,722,1633
L43,16882,A20,C32,B25,PCS,D,C01,3,989,104,1281
L61,15134,A20,C37,B27,PCS,D,C06,2,954,575,1529
L64,15158,A18,C34,B24,PCS,C,C04,1,530,530,530
L72,13879,A19,C34,B29,PCS,C,C07,1,789,789,789
L81,17240,A14,C32,B30,PCS,C,C07,1,74,74,74
L15,19667,A20,C33,B21,PCS,C,C06,1,459,459,459
L53,13799,A15,C37,B25,PCS,D,C07,1,871,871,871
L67,13001,A13,C33,B27,PCS,C,C03,2,885,235,1120
L70,14628,A11,C32,B21,PCS,D,C07,2,646,489,1135
L74,10216,A16,C35,B29,PCS,D,C01,2,323,240,563
L76,15461,A11,C31,B27,PCS,C,C10,1,282,282,282
L78,17193,A11,C38,B28,PCS,D,C06,3,843,704,2261
L90,13398,A16,C32,B29,PCS,C,C06,1,736,736,736
L34,10696,A16,C30,B24,PCS,D,C09,1,290,290,290
L51,14211,A15,C35,B22,PCS,D,C09,1,577,577,577
L60,15259,A18,C40,B21,PCS,D,C02,1,824,824,824
L68,12868,A11,C34,B23,PCS,D,C01,2,576,196,772
L68,15725,A16,C39,B27,PCS,C,C03,2,798,135,933
L76,13072,A20,C37,B28,PCS,D,C03,2,654,189,843
L40,19094,A16,C32,B26,PCS,D,C06,1,885,885,885
L48,19038,A19,C35,B25,PCS,D,C07,1,870,870,870
L73,12011,A15,C38,B26,PCS,C,C04,1,130,130,130
L75,15758,A16,C39,B22,PCS,C,C03,3,967,141,1763
L85,10292,A13,C33,B25,PCS,D,C09,1,734,734,734
L85,13166,A17,C34,B26,PCS,D,C02,1,284,284,284
L12,13809,A15,C40,B23,PCS,D,C10,4,688,54,1417
L10,11196,A14,C38,B25,PCS,C,C07,1,473,473,473
L30,11063,A12,C37,B29,PCS,C,C08,2,819,446,1265
L35,17805,A14,C32,B21,PCS,D,C08,2,555,509,1064
L81,16938,A16,C36,B24,PCS,D,C03,1,337,337,337
L79,11932,A11,C33,B21,PCS,C,C09,1,222,222,222
L25,14672,A16,C36,B21,PCS,C,C03,1,496,496,496
L29,17265,A17,C38,B29,PCS,C,C09,1,829,829,829
L29,16918,A18,C39,B27,PCS,C,C04,1,821,821,821
L30,12512,A10,C33,B30,PCS,D,C07,1,761,761,761
L40,15464,A17,C39,B25,PCS,D,C04,2,602,360,962
L12,18910,A12,C37,B25,PCS,C,C10,1,489,489,489
L16,19969,A13,C37,B25,PCS,D,C09,1,706,706,706
L26,14788,A10,C30,B30,PCS,C,C10,1,853,853,853
L32,16558,A15,C30,B21,PCS,D,C07,2,307,65,372
L36,19219,A18,C35,B28,PCS,D,C02,2,513,168,681
L52,11813,A18,C40,B30,PCS,D,C09,2,905,807,1712
L53,13043,A11,C31,B25,PCS,D,C03,1,180,180,180
L64,16599,A11,C30,B21,PCS,D,C01,1,968,968,968
L88,18961,A18,C32,B26,PCS,D,C08,2,785,89,874
L90,17520,A18,C33,B29,PCS,C,C01,1,282,282,282
L20,11198,A18,C33,B30,PCS,D,C02,2,751,446,1197
L39,13655,A17,C35,B22,PCS,D,C10,2,815,535,1350
L64,12286,A19,C36,B24,PCS,D,C02,2,899,22,921
L66,16610,A20,C39,B23,PCS,D,C06,2,955,366,1321
L68,19434,A15,C30,B29,PCS,C,C08,1,917,917,917
L73,16175,A11,C36,B28,PCS,C,C08,1,904,904,904
L16,14633,A19,C30,B27,PCS,C,C03,2,811,205,1016
L98,14343,A15,C36,B27,PCS,C,C04,1,546,546,546
L30,15805,A18,C37,B25,PCS,C,C04,3,662,332,1594
L37,16054,A16,C39,B29,PCS,D,C01,2,452,426,878
L38,12554,A13,C33,B22,PCS,D,C07,1,721,721,721
L74,13370,A16,C40,B21,PCS,D,C10,2,689,356,1045
L81,13850,A20,C30,B29,PCS,C,C03,1,642,642,642
L85,17928,A11,C30,B26,PCS,D,C06,1,222,222,222
L91,15040,A19,C32,B21,PCS,D,C01,1,702,702,702
L16,12879,A17,C35,B26,PCS,C,C08,1,210,210,210
L24,18776,A18,C40,B28,PCS,C,C01,1,79,79,79
L42,18954,A10,C40,B25,PCS,C,C07,2,979,915,1894
L77,10507,A10,C37,B26,PCS,C,C03,2,808,690,1498
L81,19943,A18,C39,B26,PCS,C,C03,3,778,470,1842
L20,19193,A11,C31,B29,PCS,C,C08,1,847,847,847
L98,13606,A13,C34,B30,PCS,D,C01,1,138,138,138
L25,18085,A11,C38,B23,PCS,C,C08,1,954,954,954
L53,13175,A12,C39,B24,PCS,C,C09,3,879,161,1208
L68,18900,A14,C30,B25,PCS,D,C10,1,676,676,676
L84,12412,A10,C32,B30,PCS,C,C01,3,841,110,1456
L85,15852,A10,C34,B20,PCS,D,C01,1,336,336,336
L24,11692,A17,C33,B29,PCS,C,C05,1,510,510,510
L30,12115,A13,C40,B29,PCS,D,C07,1,962,962,962
L55,18889,A14,C37,B27,PCS,D,C03,1,407,407,407
L95,14007,A20,C33,B20,PCS,C,C07,2,826,537,1363
L55,10160,A18,C40,B30,PCS,C,C04,2,659,334,993
L65,12994,A18,C39,B26,PCS,D,C02,3,698,290,1548
L94,16258,A20,C40,B29,PCS,C,C05,1,892,892,892
L18,16042,A13,C38,B27,PCS,D,C03,1,824,824,824
L25,14643,A12,C36,B22,PCS,D,C05,1,999,999,999
L28,14087,A15,C30,B25,PCS,C,C05,1,50,50,50
L52,13969,A11,C31,B20,PCS,D,C10,1,816,816,816
L56,12357,A16,C34,B24,PCS,D,C09,2,620,221,841
L78,11177,A16,C30,B29,PCS,D,C08,1,244,244,244
L82,18466,A14,C39,B25,PCS,C,C04,1,458,458,458
L11,19154,A16,C36,B28,PCS,D,C05,2,292,191,483
L13,14079,A10,C34,B20,PCS,C,C03,2,836,662,1498
L94,15425,A19,C34,B21,PCS,C,C07,1,239,239,239
L15,18448,A16,C33,B27,PCS,D,C08,2,831,557,1388
L17,13286,A13,C31,B20,PCS,C,C03,1,718,718,718
L21,16576,A11,C30,B26,PCS,D,C06,1,14,14,14
L23,10745,A16,C35,B20,PCS,D,C09,1,839,839,839
L33,11860,A14,C33,B22,PCS,D,C02,1,187,187,187
L62,19585,A13,C33,B29,PCS,C,C10,1,243,243,243
L75,18038,A19,C38,B28,PCS,D,C02,1,219,219,219
L81,11659,A17,C39,B28,PCS,D,C09,1,680,680,680
L82,11079,A15,C33,B28,PCS,C,C07,1,654,654,654
L89,16192,A12,C31,B22,PCS,D,C08,1,326,326,326
L97,17605,A17,C33,B22,PCS,D,C05,3,889,514,2135
L27,12438,A11,C38,B25,PCS,C,C01,1,781,781,781
L42,18810,A13,C39,B28,PCS,C,C01,1,510,510,510
L47,14863,A14,C37,B26,PCS,C,C04,2,679,162,841
L51,17936,A12,C31,B28,PCS,D,C02,1,363,363,363
L74,14604,A10,C37,B26,PCS,D,C09,1,440,440,440
L79,19132,A10,C33,B30,PCS,C,C06,1,550,550,550
L13,13638,A11,C30,B20,PCS,C,C06,1,960,960,960
L13,15992,A14,C33,B23,PCS,C,C10,3,959,512,2007
L14,10329,A14,C40,B22,PCS,C,C04,1,663,663,663
L21,14186,A20,C30,B25,PCS,C,C03,1,917,917,917
L22,12661,A17,C38,B28,PCS,D,C09,1,690,690,690
L47,18559,A11,C33,B26,PCS,C,C09,3,979,547,2416
L49,10929,A11,C35,B21,PCS,C,C02,2,498,6,504
L70,15794,A16,C30,B27,PCS,D,C10,1,246,246,246
L80,11032,A20,C34,B28,PCS,C,C02,1,359,359,359
L90,10872,A18,C30,B22,PCS,C,C01,2,166,21,187
L94,19679,A20,C31,B30,PCS,D,C01,1,513,513,513
L15,18820,A10,C40,B29,PCS,C,C10,1,149,149,149
L16,18758,A14,C33,B29,PCS,C,C01,1,202,202,202
L18,19705,A20,C30,B23,PCS,D,C07,2,564,548,1112
L53,10634,A19,C37,B28,PCS,D,C03,1,955,955,955
L65,10850,A12,C38,B20,PCS,C,C08,1,135,135,135
L84,12538,A10,C31,B20,PCS,D,C01,3,722,423,1671
L86,10237,A12,C31,B29,PCS,C,C05,1,743,743,743
L11,12916,A15,C34,B20,PCS,C,C06,1,21,21,21
L31,13828,A16,C30,B28,PCS,C,C04,1,253,253,253
L41,15448,A20,C40,B21,PCS,C,C07,3,780,331,1468
L51,18151,A10,C35,B28,PCS,C,C07,2,943,668,1611
L31,10985,A10,C32,B21,PCS,D,C09,3,702,196,1411
L32,11326,A17,C37,B27,PCS,D,C05,1,681,681,681
L33,15125,A14,C30,B29,PCS,C,C10,2,833,790,1623
L56,11650,A10,C30,B29,PCS,C,C04,1,65,65,65
L71,11178,A17,C32,B28,PCS,D,C08,2,444,244,688
L67,11044,A16,C36,B21,PCS,C,C08,1,21,21,21
L69,18460,A14,C32,B30,PCS,C,C09,2,355,82,437
L72,11146,A10,C30,B30,PCS,D,C03,3,631,186,1309
L82,16826,A20,C36,B26,PCS,D,C06,1,916,916,916
L82,18558,A11,C35,B24,PCS,D,C03,4,981,165,1852
L85,17301,A10,C38,B24,PCS,C,C07,2,192,118,310
L19,15510,A13,C38,B29,PCS,C,C05,3,692,15,793
L24,12696,A12,C30,B26,PCS,D,C03,1,913,913,913
L47,11704,A16,C39,B29,PCS,D,C06,1,931,931,931
L47,18083,A12,C35,B29,PCS,C,C09,2,376,340,716
L54,18596,A17,C40,B22,PCS,C,C05,1,441,441,441
L89,12482,A13,C34,B30,PCS,C,C06,2,893,806,1699
L11,18193,A12,C40,B28,PCS,D,C06,1,786,786,786
L40,19349,A13,C40,B26,PCS,D,C10,2,277,248,525
L42,13289,A14,C39,B29,PCS,D,C08,4,985,365,2874
L13,10350,A15,C39,B20,PCS,D,C06,1,646,646,646
L13,15778,A19,C31,B29,PCS,D,C05,1,878,878,878
L14,19211,A17,C35,B28,PCS,C,C05,1,190,190,190
L95,12299,A11,C37,B25,PCS,D,C08,1,827,827,827
L49,19233,A11,C34,B25,PCS,C,C08,1,400,400,400
L96,12579,A15,C34,B24,PCS,C,C03,2,590,323,913
L17,17576,A18,C38,B20,PCS,D,C04,1,276,276,276
L33,15706,A17,C36,B29,PCS,C,C10,2,433,228,661
L34,15768,A18,C30,B24,PCS,C,C07,2,738,541,1279
L44,18881,A16,C36,B30,PCS,C,C09,2,719,242,961
L52,17190,A19,C39,B27,PCS,D,C07,1,996,996,996
L57,18682,A13,C36,B22,PCS,C,C09,1,404,404,404
L79,12100,A15,C34,B24,PCS,C,C04,1,651,651,651
L91,10013,A10,C39,B29,PCS,D,C07,1,101,101,101
L94,14966,A14,C31,B26,PCS,C,C01,1,453,453,453
L16,11636,A11,C33,B25,PCS,D,C08,1,57,57,57
L16,10769,A14,C34,B23,PCS,C,C09,2,448,353,801
L17,18617,A20,C31,B21,PCS,D,C09,2,940,255,1195
L97,19490,A10,C32,B22,PCS,D,C09,1,631,631,631
L32,12602,A13,C33,B20,PCS,D,C01,2,500,126,626
L71,15082,A19,C35,B28,PCS,D,C04,1,493,493,493
L78,14953,A19,C33,B28,PCS,C,C10,1,792,792,792
L82,18356,A11,C31,B27,PCS,D,C03,2,718,296,1014
L84,14334,A16,C31,B29,PCS,C,C03,2,868,111,979
L12,15071,A17,C31,B29,PCS,D,C07,1,963,963,963
L95,15830,A18,C30,B24,PCS,C,C04,3,767,411,1910
L16,14955,A13,C31,B26,PCS,D,C07,2,623,290,913
L36,13816,A10,C39,B30,PCS,C,C08,2,632,376,1008
L40,18101,A11,C32,B24,PCS,C,C07,2,822,743,1565
L50,11512,A11,C38,B27,PCS,C,C05,1,605,605,605
L59,16329,A16,C32,B23,PCS,D,C04,1,372,372,372
L62,15280,A17,C34,B22,PCS,C,C04,2,944,197,1141
L65,16085,A20,C37,B21,PCS,D,C04,2,994,413,1407
L76,14226,A20,C36,B30,PCS,D,C07,2,910,117,1027
L86,11306,A10,C36,B20,PCS,C,C01,2,917,883,1800
L90,13158,A17,C40,B26,PCS,D,C06,1,951,951,951
L92,13789,A15,C31,B22,PCS,D,C10,2,323,68,391
L18,16268,A15,C31,B26,PCS,D,C10,1,37,37,37
L29,15439,A10,C35,B21,PCS,D,C07,1,735,735,735
L32,15311,A20,C39,B20,PCS,D,C08,2,696,482,1178
L54,15339,A12,C40,B23,PCS,C,C10,3,747,92,1041
L60,13121,A11,C40,B27,PCS,D,C06,1,427,427,427
L62,14600,A15,C35,B28,PCS,D,C04,4,784,441,2599
L68,19710,A12,C34,B28,PCS,C,C01,3,646,174,1386
L81,17824,A15,C38,B28,PCS,C,C07,2,880,685,1565
L81,10672,A14,C37,B26,PCS,C,C01,1,541,541,541
L91,19307,A13,C38,B30,PCS,D,C04,1,563,563,563
L40,18906,A16,C38,B26,PCS,D,C01,1,156,156,156
L75,12126,A11,C35,B20,PCS,C,C04,1,793,793,793
L80,17545,A19,C33,B24,PCS,D,C06,1,898,898,898
L17,15477,A20,C33,B21,PCS,C,C03,1,180,180,180
L39,10482,A16,C31,B20,PCS,D,C05,2,239,200,439
L46,18425,A19,C38,B29,PCS,D,C08,1,858,858,858
L50,13172,A20,C34,B21,PCS,C,C05,4,813,248,2210
L58,15771,A11,C38,B28,PCS,D,C09,1,539,539,539
L61,14813,A10,C36,B30,PCS,D,C03,3,921,310,1931
L68,12027,A17,C30,B22,PCS,D,C09,1,256,256,256
L84,16388,A15,C37,B27,PCS,D,C10,3,861,475,1840
L85,11378,A18,C40,B25,PCS,D,C03,1,676,676,676
L91,10244,A13,C39,B26,PCS,D,C08,1,244,244,244
L17,19886,A12,C35,B22,PCS,D,C02,1,458,458,458
L38,12850,A17,C33,B20,PCS,C,C02,1,917,917,917
L39,16842,A12,C32,B23,PCS,D,C10,1,487,487,487
L45,14325,A17,C34,B27,PCS,D,C08,2,889,302,1191
L71,11987,A18,C37,B21,PCS,D,C01,2,692,541,1233
L56,11921,A19,C37,B24,PCS,D,C06,3,753,462,1697
L57,10957,A10,C33,B22,PCS,C,C05,2,664,139,803
L72,16739,A12,C33,B20,PCS,D,C01,1,804,804,804
L95,14512,A11,C33,B30,PCS,D,C01,3,422,218,932
L16,15980,A15,C33,B23,PCS,D,C06,3,801,74,1655
L17,17054,A17,C36,B30,PCS,D,C04,2,848,702,1550
L20,17269,A15,C34,B20,PCS,C,C08,2,825,384,1209
L98,16886,A14,C38,B26,PCS,D,C03,1,566,566,566
L34,13262,A13,C32,B24,PCS,D,C04,1,745,745,745
L52,14809,A15,C32,B20,PCS,C,C06,1,128,128,128
L55,11685,A18,C30,B25,PCS,C,C06,1,943,943,943
L58,16919,A13,C34,B20,PCS,C,C06,3,834,272,1547
L59,19868,A13,C37,B24,PCS,D,C06,4,948,27,1963
L64,17753,A13,C31,B24,PCS,C,C06,2,958,532,1490
L65,10730,A15,C38,B20,PCS,D,C10,2,246,89,335
L74,17405,A15,C33,B20,PCS,C,C07,1,124,124,124
L78,10435,A13,C35,B29,PCS,D,C07,2,336,194,530
L80,18553,A14,C39,B27,PCS,C,C03,1,753,753,753
L40,15872,A13,C37,B23,PCS,D,C02,5,848,168,2262
L41,13496,A19,C34,B27,PCS,D,C10,1,635,635,635
L50,19879,A20,C33,B21,PCS,C,C06,2,886,254,1140
L51,17265,A15,C37,B21,PCS,D,C04,2,668,644,1312
L65,11377,A18,C38,B22,PCS,D,C04,2,947,565,1512
L67,17762,A13,C30,B20,PCS,C,C02,2,960,634,1594
L74,16281,A18,C34,B22,PCS,C,C07,3,923,295,1855
L92,13642,A11,C35,B24,PCS,C,C09,1,223,223,223
L98,18901,A14,C30,B30,PCS,D,C04,1,243,243,243
L22,19754,A16,C34,B27,PCS,C,C04,2,834,163,997
L70,16101,A18,C38,B22,PCS,D,C02,2,616,294,910
L63,16725,A12,C32,B28,PCS,D,C03,1,442,442,442
L66,13967,A13,C33,B25,PCS,D,C06,1,279,279,279
L67,11704,A11,C37,B23,PCS,C,C04,1,264,264,264
L21,16894,A14,C38,B28,PCS,D,C02,1,415,415,415
L22,10758,A20,C30,B23,PCS,C,C08,1,890,890,890
L34,11441,A11,C37,B24,PCS,C,C10,1,433,433,433
L38,16558,A15,C33,B29,PCS,C,C05,2,955,204,1159
L40,12558,A13,C35,B20,PCS,C,C06,1,699,699,699
L43,11719,A12,C35,B29,PCS,C,C07,1,560,560,560
L53,13340,A13,C32,B29,PCS,D,C06,2,579,89,668
L67,17031,A17,C34,B26,PCS,C,C06,1,175,175,175
L82,14415,A16,C31,B27,PCS,C,C03,1,173,173,173
L88,11171,A19,C37,B22,PCS,C,C10,1,8,8,8
L92,11762,A19,C36,B25,PCS,C,C01,1,54,54,54
L46,15506,A14,C39,B24,PCS,D,C03,1,317,317,317
L59,10442,A10,C34,B21,PCS,D,C02,3,252,108,603
L59,11965,A13,C32,B21,PCS,D,C03,1,180,180,180
L75,19604,A12,C33,B21,PCS,D,C10,1,537,537,537
L79,11817,A15,C31,B24,PCS,C,C04,2,601,139,740
L79,13729,A14,C40,B21,PCS,D,C07,1,979,979,979
L87,12825,A18,C40,B28,PCS,C,C02,1,501,501,501
L91,16192,A16,C38,B23,PCS,C,C07,3,839,240,1816
L11,19382,A10,C40,B23,PCS,D,C01,1,101,101,101
L11,19687,A17,C30,B28,PCS,C,C04,2,736,404,1140
L95,12314,A11,C37,B23,PCS,C,C05,1,147,147,147
L10,15306,A15,C32,B26,PCS,D,C05,2,891,788,1679
L12,18693,A19,C38,B28,PCS,D,C03,2,443,72,515
L34,12564,A10,C34,B22,PCS,D,C10,1,398,398,398
L37,15463,A17,C36,B21,PCS,D,C07,2,373,42,415
L43,10172,A20,C37,B26,PCS,D,C06,1,846,846,846
L61,14747,A11,C31,B29,PCS,C,C10,1,747,747,747
L85,15941,A12,C37,B29,PCS,C,C06,3,914,529,2014
L18,12111,A13,C39,B25,PCS,D,C06,1,476,476,476
L23,17473,A16,C38,B30,PCS,D,C01,1,942,942,942
L29,10154,A17,C36,B23,PCS,C,C09,1,555,555,555
L36,10188,A17,C31,B27,PCS,C,C08,1,147,147,147
L52,16982,A11,C30,B25,PCS,C,C06,2,910,347,1257
L66,17007,A13,C37,B20,PCS,C,C02,1,349,349,349
L81,12947,A10,C35,B26,PCS,D,C02,1,9,9,9
L84,17705,A20,C30,B26,PCS,C,C05,1,81,81,81
L86,19650,A19,C31,B20,PCS,D,C04,1,18,18,18
L24,19729,A11,C37,B30,PCS,C,C06,1,888,888,888
L35,17598,A12,C30,B29,PCS,C,C04,2,531,167,698
L42,11683,A20,C38,B27,PCS,D,C01,2,68,24,92
L61,14321,A11,C33,B21,PCS,C,C07,1,596,596,596
L66,19664,A10,C32,B29,PCS,D,C10,1,907,907,907
L78,12428,A17,C30,B21,PCS,C,C02,1,134,134,134
L79,18346,A18,C38,B23,PCS,C,C06,1,99,99,99
L81,13353,A18,C40,B29,PCS,D,C01,1,87,87,87
L85,12780,A11,C35,B25,PCS,D,C10,3,789,162,1397
L10,14876,A20,C34,B22,PCS,C,C10,2,772,548,1320
L93,15996,A18,C38,B29,PCS,C,C03,2,939,652,1591
L26,11534,A20,C40,B22,PCS,D,C01,4,856,83,1311
L44,18684,A18,C30,B21,PCS,D,C07,1,677,677,677
L65,18034,A19,C36,B20,PCS,C,C04,2,878,719,1597
L73,11534,A20,C34,B28,PCS,D,C02,3,846,390,2048
L82,10332,A19,C35,B20,PCS,D,C09,1,248,248,248
L98,12864,A19,C36,B20,PCS,D,C06,1,187,187,187
L49,12504,A20,C35,B22,PCS,D,C07,2,886,360,1246
L61,11257,A15,C37,B20,PCS,C,C02,1,646,646,646
L76,10888,A14,C32,B23,PCS,D,C03,1,102,102,102
L77,10456,A16,C39,B26,PCS,D,C01,1,307,307,307
L84,18475,A15,C39,B20,PCS,C,C06,1,927,927,927
L85,19434,A11,C36,B23,PCS,D,C04,2,622,197,819
L20,15569,A20,C36,B20,PCS,D,C09,4,974,209,1808
L51,13486,A12,C34,B27,PCS,C,C10,1,607,607,607
L64,14031,A18,C31,B24,PCS,C,C01,2,957,424,1381
L65,15634,A17,C37,B24,PCS,C,C01,2,322,166,488
L68,10489,A16,C37,B20,PCS,C,C10,2,231,39,270
L70,14697,A17,C34,B22,PCS,C,C09,2,398,247,645
L81,15059,A13,C30,B22,PCS,C,C03,1,6,6,6
L38,18880,A13,C33,B23,PCS,C,C08,1,341,341,341
L60,14272,A12,C34,B28,PCS,D,C05,2,625,390,1015
L61,11377,A17,C35,B27,PCS,D,C03,1,720,720,720
L65,14042,A20,C33,B20,PCS,C,C08,2,335,26,361
L86,16845,A14,C30,B28,PCS,C,C05,1,788,788,788
L10,15594,A11,C38,B27,PCS,D,C09,2,929,326,1255
L10,19094,A11,C33,B21,PCS,D,C04,1,737,737,737
L11,10756,A13,C39,B29,PCS,C,C01,1,551,551,551
L93,12379,A19,C32,B28,PCS,D,C02,1,333,333,333
L15,13276,A18,C40,B27,PCS,D,C07,2,366,207,573
L29,12406,A16,C37,B30,PCS,C,C01,1,370,370,370
L32,10499,A10,C31,B26,PCS,C,C06,1,158,158,158
L46,19009,A10,C40,B20,PCS,D,C10,3,988,18,1857
L55,13563,A13,C32,B20,PCS,D,C03,2,440,430,870
L75,13832,A12,C31,B25,PCS,C,C08,1,15,15,15
L95,10762,A15,C35,B30,PCS,C,C09,1,914,914,914
L99,11097,A16,C38,B23,PCS,C,C03,1,21,21,21
L36,13848,A10,C36,B26,PCS,D,C02,1,359,359,359
L42,15270,A12,C39,B24,PCS,D,C03,1,139,139,139
L41,14811,A13,C31,B20,PCS,D,C06,1,873,873,873
L52,14314,A13,C36,B30,PCS,C,C02,1,131,131,131
L59,12303,A14,C30,B25,PCS,C,C07,1,421,421,421
L80,16356,A10,C34,B20,PCS,C,C10,1,675,675,675
L81,17841,A14,C34,B20,PCS,C,C05,1,881,881,881
L82,11666,A20,C38,B26,PCS,C,C01,1,540,540,540
L15,12295,A15,C33,B25,PCS,C,C05,1,734,734,734
L97,18620,A11,C32,B25,PCS,C,C03,2,875,522,1397
L37,16819,A12,C37,B21,PCS,C,C06,2,547,309,856
L42,13141,A20,C39,B26,PCS,D,C04,2,446,160,606
L44,14358,A19,C40,B23,PCS,D,C02,1,592,592,592
L60,14084,A17,C30,B23,PCS,D,C03,2,599,76,675
L77,11434,A15,C39,B26,PCS,C,C09,1,780,780,780
L80,14712,A16,C32,B29,PCS,C,C02,1,694,694,694
L85,16711,A16,C39,B26,PCS,D,C10,2,813,154,967
L86,14703,A13,C40,B23,PCS,C,C03,2,780,136,916
L36,10249,A10,C34,B22,PCS,C,C04,1,867,867,867
L37,16963,A13,C34,B30,PCS,D,C04,1,791,791,791
L37,19640,A19,C40,B26,PCS,C,C10,2,231,219,450
L48,15751,A18,C31,B20,PCS,D,C09,1,634,634,634
L53,17438,A20,C38,B24,PCS,D,C03,1,512,512,512
L73,11292,A10,C40,B27,PCS,C,C08,2,646,22,668
L75,17629,A16,C38,B30,PCS,C,C06,1,291,291,291
L84,13693,A17,C40,B29,PCS,D,C01,1,318,318,318
L16,14291,A15,C31,B25,PCS,C,C03,1,151,151,151
L32,15672,A10,C38,B29,PCS,C,C09,3,855,265,1470
L38,15891,A20,C33,B27,PCS,C,C05,2,768,631,1399
L41,14520,A12,C35,B30,PCS,C,C06,1,767,767,767
L59,11532,A12,C32,B20,PCS,D,C08,1,354,354,354
L90,14681,A17,C34,B29,PCS,C,C04,2,973,654,1627
L93,15962,A11,C40,B24,PCS,C,C08,1,607,607,607
L97,19639,A19,C37,B29,PCS,C,C08,1,748,748,748
L32,19335,A16,C35,B22,PCS,D,C05,2,621,111,732
L54,19832,A11,C34,B27,PCS,C,C03,2,738,258,996
L64,15436,A14,C32,B28,PCS,C,C04,1,808,808,808
L84,16426,A16,C33,B30,PCS,D,C06,1,473,473,473
L85,14094,A10,C31,B28,PCS,D,C04,4,608,6,1450
L88,14723,A14,C35,B20,PCS,D,C01,1,762,762,762
L94,15624,A12,C39,B21,PCS,C,C09,1,150,150,150
L30,18996,A18,C40,B22,PCS,C,C04,1,846,846,846
L34,13631,A12,C31,B22,PCS,D,C03,1,942,942,942
L43,17949,A14,C37,B21,PCS,C,C06,3,873,193,1338
L45,11054,A16,C31,B28,PCS,D,C07,1,878,878,878
L77,14047,A16,C35,B30,PCS,D,C05,1,399,399,399
L85,17251,A19,C37,B30,PCS,C,C06,1,183,183,183
L90,10097,A17,C37,B22,PCS,C,C08,2,420,48,468
L10,19953,A19,C37,B20,PCS,C,C07,1,831,831,831
L18,15948,A10,C38,B30,PCS,C,C02,1,432,432,432
L28,11702,A13,C33,B20,PCS,D,C01,1,913,913,913
L36,13051,A12,C35,B20,PCS,D,C07,1,188,188,188
L38,18290,A16,C37,B28,PCS,C,C05,1,432,432,432
